psc,naics,description,0
F999,541990.0,"IGF::OT::IGF NEZ PERCE-CLEARWATER NATIONAL FOREST / FOREST REVISION PLAN (DEIS&FEIS) / NEPA ANALYSIS FOR RANGE&GRAZING, NON-FOREST VEGETATION.  THIS IS A SOLE SOURCE IAW FAR 6.302-1 - ONLY ONE RESPONSIBLE SOURCE.",1
D399,541511.0,"MOD TO TURN ARRAY ON FOR FULL PERFORMANCE OF TC-AIMS II OPERATION AND MAINTENANCE.THE SERVICES PROVIDED UNDER W91QUZ-11-D-0005/BA02 INCLUDE POST PRODUCTION SOFTWARE SUPPORT, SYSTEM ENHANCEMENT AND TECHNOLOGY INSERTION OF TRANSPORTATION COORDINATORS-AUTOMATED INFORMATION FOR MOVEMENTS SYSTEM II (TC-AIMS II). TC-AIMS II IS USED BY TRANSPORTATION AGENTS AND DEPLOYING UNITS TO AUTOMATE THE PROCESSES OF PLANNING, ORGANIZING, COORDINATING, AND CONTROLLING DEPLOYMENT, REDEPLOYMENT, AND SUSTAINMENT ACTIVITIES WORLD",1
W059,334220.0,REGIONAL OFFICE TELEMATICS SERVICES OPTION YEAR II FUNDING CORRECTION MOD,1
7A21,541519.0,"HUMAN RESOURCE DIVISION (HRD) IS SEEKING LICENSES FOR THE LERIS ON-LINE LEGAL HR TOOL USED TO SUPPORT MANY HR, ER AND LR ACTIVITY BY THE MISSION AREA. LABOR AND EMPLOYEE RELATIONS ACTIVITY TRACKING CASE MANAGEMENT REPORTING SYSTEM IS A SERVICE FOR TR",1
F014,115310.0,"401- MANUALLY THIN 171.8 ACRES TO A RESIDUAL TREE SPACING OF 30'X30'. 402- LOP AND SCATTER ACTIVITY-SLASH TO A HEIGHT OF 24"" OR LESS FROM THE GROUND. 409- PULL BACK ACTIVITY-SLASH FROM BEYOND THE DRIPLINE OF ALL RESIDUAL TREES GREATE",1
AZ14,541990.0,"THIS MODIFICATION IS ISSUED TO REVISE TASKS 2, 7, 8 AND DELETE TASK 9 IN ACCORDANCE WITH THE ATTACHED SOW. THE CONTRACTOR SHALL COMPLETE THE REVISED REQUIREMENTS DESCRIBED IN THE ATTACHED SOW, AND SHALL PERFORM IN ACCORDANCE WITH THE PROPOSAL DATED",1
D399,518210.0,"OPEN PAYMENT PROGRAM- (OPP) THE CENTERS FOR MEDICARE AND MEDICAID SERVICES (CMS) REQUIRES A HIGH-QUALITY, SECURE, RELIABLE AND EFFICIENT DATA CENTER HOSTING FACILITY TO INCLUDE ALL ACTIVITIES (END-TO-END) NECESSARY TO PROVIDE EFFICIENT, EFFECTIVE, AN",1
J036,811310.0,EVALUATION OF SPRINGFIELD GRINDER,1
5985,334220.0,"8507213459!ATTENUATOR,FIXED",1
Z1AA,236220.0,NATIONAL GUARD BUREAU FOR ROOM 2E630 EXECUTIVE DOORS,1
5680,423610.0,"4562943635!SINK FAUCET, DL-L5510, ONE HOLE, DAELIM",1
6350,561621.0,6 MONTHS EXTENSION RESIDENTIAL ALARMS SERVICES.,1
R612,518210.0,"NV EXERCISE OPTION YEAR 4 ENUMERATION AT BIRTH (EAB).  THE CONTRACTOR SHALL PROVIDE BIRTH RECORDS FOR THE PURPOSE OF OBTAINING A SOCIAL SECURITY NUMBER (SSN).  PERIOD OF PERFORMANCE JUNE 29, 2018 THROUGH JUNE 28, 2019.",1
Z2AA,236220.0,MOD PA02 IS TO REDUCE CONTRACT PRICE TO ZERO.   THE ORIGINAL CONTRACT WAS AWARDED TO THE WRONG COMPANY.,1
B542,611710.0,THE PURPOSE OF THIS MODIFICATION IS TO DE-OBLIGATE EXPIRING FUNDS.,1
7021,334111.0,BCOO FUNDED NON LIFE-CYCLE LAPTOP.,1
D319,541519.0,LICENSE FOR SOLARWINDS COMPONENTS,1
F003,115310.0,"F-2020-CA-MNF-000753-6530A, DOE, CA-MNF-000753, E-30972",1
D304,517410.0,ADCD000547EBM  INMARSAT BROADBAND GLOBAL AREA NETWORK SERVICE (COMMERCIAL SATELLITE SUBSCRIPTION SERVICES) FOR BGAN/GX CONSOLIDATION SERVICES.,1
C1QA,541370.0,ROMO-LPCG TOPOGRAPHIC SURVEY,1
5680,423610.0,"4542087946!CONTROL BOARD, P/N: 2309253, FOR A/C UNI",1
5945,335314.0,"8510605695!RELAY,ELECTROMAGNET",1
Y1DB,238210.0,"IGF::OT::IGF REPLACE ELECTRICAL PANELS-SDRU-BLDG. 3: FURNISH ALL LABOR, SUPERVISION, TOOLS, AND MATERIALS BE PROVIDED TO PROVIDE CONSTRUCTION SERVICES AND MATERIALS NECESSARY FOR REPLACING 10 PANEL BOARDS, 5 MCCS, AND 2 SAFETY SWITCHES FOR BUILDING 3 OF  USDA, ARS, SOIL DYNAMICS LAB IN AUBURN, AL PER THE ATTACHED STATEMENT OF WORK.   ALL WORK SHALL BE PERFORMED IN ACCORDANCE WITH THE TERMS, CONDITIONS, DRAWINGS AND SPECIFICATIONS CONTAINED IN THIS DOCUMENT.",1
7050,334111.0,THIS MODIFICATION EXERCISES OPTION ITEM 1001AA AND ITS PARENT ITEM 1001.  IT CHANGES TEXT THROUGHOUT THE CONTRACT TO INDICATE THAT 1001 AND 1001AA ARE CLINS INSTEAD OF OPTION ITEMS.  IT REINSTATES THE SECTION F DELIVERY SCHEDULE WHICH WAS PREVIOUSLY INADVERTENTLY INDICATED AS NOT INCLUDED WITHIN THE GOVERNMENT CONTRACT ACTION GENERATION TOOL.  IT ALSO INCORPORATES CLAUSE 52.217-6 FOR FUTURE OPTION EXERCISES.,1
D399,541519.0,CELLUAR PHONE SERVICE FOR DEMD - MOD TO FIX ACCOUNT NUMBER,1
R706,488310.0,HSP SERVICES IN SUPPORT OF USNS JOHN LENTHALL IN SOUDA BAY,1
T011,323117.0,GPO ORDER FOR THE U.S. COAST GUARD GLOBAL MOTR COORDINATION CENTER (CG-DCO-G). FOR THE DHS ARCTIC STRATEGY.,1
5680,423610.0,4541917460!PRIMER - SEAL GRIP ACY INTERIOR&EXTERI,1
7035,541519.0,FY20_DELL7070-NICUPGRADE(B)  DELL M.2 GIBABIT ETHERNET FIBER NETWORK INTERFACE M.2 GIGABIT ETHERNET FIBER NETWORK INTERFACE CARD FOR DELL OPTIPLEX  7070   7060/5060/3060 MICRO PCS 1000BASE-X PART NUMBER NM2-GXE-2230-LC-201,1
Z1LB,236220.0,"FY21 OMA REPAIR KISS AND DROP ZONE B5120 USAG HUMPHREYS, KOREA",1
Z2DA,236220.0,IGF::OT::IGF X003 DALE-006 REPAIR EXTERIOR BRICK AND MORTAR JOINT,1
Y1QA,236220.0,FEHA - EMERGENCY STABILIZATION THIS MODIFICATION IS TO EXERCISE OPTION PERIOD 1,1
9535,488190.0,"8507323134!METAL, SHEET 0.030"" THICK 100",1
Z2AA,238210.0,"THE CONTRACTOR SHALL PROVIDE ALL MATERIALS, SUPPLIES, LABOR, EQUIPMENT AND SUPERVISION, NECESSARY TO COMPLETE THE REPLACEMENT OF ALL EXISTING FIXTURES WITH NEW L.E.D. FIXTURES WITHIN THE COMMON AND MECHANICAL AREAS OF THE BUILDING.",1
1680,488190.0,THIS IS FOR 2 BRAKE ASSEMBLY EXCHANGES AND 2 BRAKE ASSEMBLY OVERHAULS.,1
J070,335311.0,UPS SUPPORT,1
5975,335931.0,STUFFING TUBE-BOX HUB COUPLING,1
7510,325992.0,OLYMPUS V104190BU000 TOUGH TG-5 DIGITAL,1
Y1PZ,237990.0,"CONTRACT FOR NEW ORLEANS TO VENICE, NOV-NF-W-04A, LEVEE FROM OAKVILLE TO LAREUSSITE, PLAQUEMINES PARISH, LA AT PLAQUEMINES PARISH, LA. REFERENCE NO. R00024 CIN-014 NORTH STRUCTURE PRELOAD DELAY SEE PAGE 2.",1
5930,335313.0,"8509619054!SWITCH,THERMOSTATIC",1
7025,541519.0,"IGF::OT::IGF X:NOGRN ZION NATIONAL PARK - THIN CLIENTS.  THIS IS A NO-COST MODIFICATION DUE TO INCORRECT ITEMS SENT BY THE VENDOR; CHANGING THE DESCRIPTION OF LINE ITEM PRODUCT SKU FROM KTHYJ TO DELL-FED-CTO AND THE DELIVERY DATE FROM 9/11/17 TO 12/29/17; ALL OTHER TERMS AND CONDITIONS REMAIN THE SAME.  THIS IS A UNILATERAL NO-COST MODIFICATION TO CHANGE DELIVERY DATE FROM 12/29/2017 TO 11/28/2017, FOR CLOSE-OUT.",1
DA01,541519.0,OCIMS USES WEBEOC AS THE SOFTWARE TO PROVIDE SITUATIONAL AWARENESS IN CASE OF AN INCIDENT OR EXERCISE. IN ORDER TO PROVIDE SUPPORT FOR THIS PRODUCT JUAVRE WILL PROVIDE A 1/4-TIME DEDICATED SERVICES SUBSCRIPTION.,1
1420,336419.0,"8510593799!CABLE ASSEMBLY,SPEC",1
Y1PZ,237990.0,"CONTRACT FOR NEW ORLEANS TO VENICE, HURRICANE PROTECTION SYSTEM, NOV-NF-W-06B3, WEST POINTE A LA HACHE, GULF SOUTH PIPELINE AND SIPHON T-WALLS, PLAQUEMINES PARISH, LOUISIANA. REFERENCE NO. R00009 T006 WEATHER (9/1/18 - 7/31/19) TE-003 WEATHER (6/1/2017 - 8/31/2017) TE-004 WEATHER (9/1/2017 - 2/28/2018) TE-005 WEATHER (4/1/2018 - 8/31/2018) TE-4A WEATHER (3/1/2018 - 3/31/2018) SEE PAGE 2.",1
6685,334512.0,"8506229774!GAGE,PRESSURE,DIAL",1
F005,115310.0,KLAMATH FALL RESOURCE AREA FOR BRUSH PLANTING SERVICES--EXTEND POP DUE TO WEATHER CONDITIONS,1
7030,541511.0,SUPPORT SOFTWARE FOR THE HELIOS PFIB SYSTEM,1
R425,541990.0,"IGF::OT::IGF TECHNICAL SUPPORT SERVICES PERFORMED FOR WESTERN'S ROCKY MOUNTAIN REGION. MODIFICATION #0015 ADDS AUTO WORKER AT RMR'S MONTROSE MAINTENANCE OFFICE, UNIFORM ALLOWANCE AND THE GOV'T TO PROVIDE MOBILE PHONES TO CERTAIN CONTRACT PERSONNEL AT LOVELAND AND MONTROSE.",1
6145,334416.0,EO14042 THIS CONTRACT IS HEREBY MODIFIED TO INCORPORATE FEDERAL ACQUISITION REGULATION (FAR) CLAUSE 52.223-99 ENSURING ADEQUATE COVID-19 SAFETY PROTOCOLS FOR FEDERAL CONTRACTORS - FEDERAL SUPPLY SCHEDULE CONTRACT,1
W023,532490.0,ROMO-SNOWCAT RENTAL,1
Y1AZ,236220.0,"THE CONTRACTOR SHALL PROVIDE ALL MATERIALS, LABOR, EQUIPMENT, AND DESIGN TO ACCOMPLISH THE FOLLOWING SCOPE OF WORK. PROVIDE A SCHEDULE FRAGNET FOR THIS WORK AND A DETAILED COST PROPOSAL. REFER TO RFI-0064 AND REQUEST FOR PROPOSAL FOR DESIGN-BUI",1
5963,541511.0,VETLINK QUEING SUSTAINMENT,1
Z2AA,236220.0,"MODIFICATION FOR ADDITIONAL WORK WITHIN SCOPE ON THE COURT OF APPEALS FENCE PROJECT LOCATED IN SF, CA 94102. THE COMPLETION DATES FOR CONSTRUCTION ARE EXTENDED AS SC:2/23/2022 AND UC:3/23/2022. ALL OTHER TERMS REMAIN UNCHANGED AND IN FULL EFFECT.",1
6515,541519.0,FOUR POINTS TECHNOLOGY PYXIS RENTAL 10/1/21 - 5/31/22,1
R499,541990.0,FACT WITNESS MANAGEMENT CONTRACTOR,1
5660,236220.0,DEMOLISH WAREHOUSE #2 AND REBUILD NEW METAL WAREHOUSE CLOSEOUT,1
AG62,541990.0,"""AUTONOMOUS UNDERWATER VEHICLE DEPLOYABLE OIL SPILL IGNITER ""BSEE IGNITER"" - PHASE II.""",1
Y1JZ,236220.0,WR# MR0000F9J BATHROOM RENOVATION B3070 - MODIFICATION P00002.  THIS MODIFICATION INCLUDES THE UPDATES FOR LIGHTING/EXTENDED BATHROOM STALL DOORS IN ACCORDANCE WITH THE REVISED SOW DATED 05 MARCH 2020.,1
5995,334419.0,"8508807191!CABLE ASSEMBLY,RADI",1
5680,423610.0,4545936121!GE - BOX OF 100-  SIZE LARGE,1
7K20,334112.0,"THE PURPOSE OF THIS MODIFICATION IS TO EXERCISE OPTION PERIOD ONE (1), FUNDING CLIN 1001 IN THE AMOUNT OF $427,554.96. DESCOPING THE QUANTITY FROM 36 TO 24. THE PERIOD FOR OPTION PERIOD ONE (1) IS JULY 31, 2024 THROUGH JULY 30, 2025. ALL OT",1
F003,115310.0,"BALDWIN FORESTRY, LLC CA-ONC-000003 E-296",1
5680,423610.0,4564702939!REFRIGERANT R404A FREON GAS 10.9KG (CY)H,1
D304,541512.0,"IN ACCORDANCE WITH FAR 4.804-1, THIS MODIFICATION IS TO CLOSEOUT CONTRACT DG133W-10-NC-3049 AND TO DE-OBLIGATE REMAINING FUNDS IN THE AMOUNT OF $0.04. ALL ADMINISTRATIVE AND FINANCIAL REQUIREMENTS ARE COMPLETE.",1
DA10,541519.0,THIS IS AN ORDER FOR VMWARE.,1
R408,541519.0,"U.S ENVIRONMENTAL PROTECTION AGENCY (EPA) INFORMATION TECHNOLOGY SOLUTIONS - BUSINESS INFORMATION STRATEGIC SUPPORT (ITS-BISS) III THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE EPAAR CLAUSE ENTITLED, ""SUBMISSION OF INVOICES.""",1
6515,334516.0,"NIDDK - OPTILAB TO BE USED FOR DETERMINING MOLECULAR MASSES OF PROTEINS AND COMPLEXES INVOLVING PROTEIN-PROTEIN, PROTEIN-NUCLEIC ACID, PROTEIN-DETERGENTS, IN VARIOUS LCP PROJECTS INCLUDING VIRAL (COVID-19) PROTEINS",1
7050,334511.0,"PURCHASE OF SEALITE SELF-CONTAINED AIS MARKERS, MOUNTING BRACKETS AND BATTERY CHARGER.",1
Z2BZ,236220.0,P00001 - NTP,1
D318,541519.0,CHANGING FINANCE LINE - NONPERSONAL SERVICES JUNIPER WARRANTY FOR NEXT BUSINESS DAY (NBD) SUPPORT SERVICES PACKAGE FOR JUNIPER ROUTERS IN SERVICE WITH THE NOAA GLOBAL SYSTEMS DIVISION (GSD). STORAGE SYSTEMS,1
5680,423610.0,4561053065!EMERGENCY LIGHTING SYSTEM SHALL BE UL 92,1
D399,541519.0,"MASS NOTIFICATION SYSTEM FOR RECALL VIA TELEPHONE OR TEXT FOR URGENT TWO WAY COMMUNICATIONS FOR 17,800 USERS.",1
W074,532420.0,8509718788!EMS LEASE & SERVICE FIXED RAT,1
6680,334519.0,"8506258735!METER,FLUID FLOW IN",1
7690,323117.0,"8506125464!SIGNS,REFLECTIVE",1
7510,325992.0,"CARTRIDGE, TONER: ITEM NAME CARTRIDGE, TONER IAW HEWLETT PACKARD PN CE260A CARTRIDGE TYPE NEW (OEM GENUINE) SPECIAL FEATURES STANDARD YIELD CARTRIDGE FOR USE WITH HP CP4000 AND CP4500 SERIES COLOR LASERJET PRINTERS INCLUDING CP4025DN, CP4025N, C",1
5680,423610.0,4541395659!ELBOW TYPE GRUVLOCK STYLE GROOVE OTHER 9,1
Y1EA,236210.0,MOD A00011 R00011 INDUSTRIAL WASTEWATER TREATMENT PLANT,1
5970,335999.0,8509588451!,1
DG10,517410.0,EXERCISING FUNDING PERIOD 1 AND INCORPORATING WITHIN SCOPE CHANGES.,1
5450,423610.0,"4554239865!ELBOW, 90?, REG TURN, 1-1/2"", MIL-D",1
R707,541690.0,"MODIFICATION 02: PROVIDES INCREMENTAL FUNDING IN THE AMOUNT OF $3,167,259.55.  DIPLOMATIC SECURITY GLOBAL CANINE SERVICES CENTER WORLDWIDE PROTECTIVE SERVICES BUREAU OF DIPLOMATIC SECURITY US DEPARTMENT OF STATE",1
R799,518210.0,DIGITIZATION OF FILES,1
R425,541512.0,IGF::OT::IGF.  WESTERN RANGE MODERNIZATION PROGRAM - ADMINISTRATIVE MOD INTEGRATION SERVICES.,1
D399,541512.0,"TO PURPOSE OF THIS MODIFICATION IS TO 1. EXERCISE OPTIONAL OPTION PERIOD 2 CLIN 2001 FOR TASK AREAS 1, 2, 3 AND 4 TO INCLUDE ALL SUBTASKS, OTHER DIRECT COSTS, AND PROVIDE INCREMENTAL FY20 FUNDS FOR A PERIOD OF PERFORMANCE OF 12 MONTHS COMMENCING JUN",1
7110,423420.0,VINATA - DESIGN&FITTING OUT WORK FOR 15F/ ESDO OFFICE,1
6515,334516.0,"CFX OPUS 96, BIO RAD PART NUMBER 12011319, U/1 EACH QTY 1  CFX MAESTRO SOFTWARE WIN, BIO RAD PART NUMBER 12013758, U/1 EACH QTY 1   WIFI ADAPTER USB, BIO RAD PART NUMBER 12013346, U/1 EACH QTY 1    INCLUDES TRAINING AND DELIVERY",1
5680,423610.0,"4555228530!FUSE,50A, MOD#LPJ-50SP, MFG:BUSSMANN, GR",1
R617,518210.0,"EO 14026 A JOINT DIRECTIVE HAS BEEN ISSUED FROM THE OFFICE OF MANAGEMENT AND BUDGET (OMB) AND THE NATIONAL ARCHIVES AND RECORDS ADMINISTRATION (NARA), M-19-21 TRANSITION TO ELECTRONIC RECORDS, REQUIRING ALL FEDERAL RECORDS TO BE MANAGED ELECTRONICAL",1
Z2AA,236220.0,"CONSTRUCTION MANAGER AS CONSTRUCTOR SERVICES FOR THE REPAIR AND ALTERNATION PROJECT FOR THE PENSACOLA, FL COURTHOUSE.  CMC CONSTRUCTION  CONTRACT NO. 47PE0317C0002, MODIFICATION PS0017  A. PURPOSE - THE PURPOSE OF THIS MODIFICATION TO IS TO ADD EIGHT CMC SERVICES FOR IOCCS 032A, 036A, 043R2, 046, 047, 052R1, 053 AND 57 FOR THE PENSACOLA, FL COURTHOUSE. THE CMC WILL PROVIDE ALL LABOR AND MATERIALS TO COMPLETE THE WORK AS DESCRIBED IN THE REFERENCE DOCUMENTS.  B. ACCEPTANCE OF OFFER AND SCOPE OF WORK  ADD THE",1
Y1AZ,236220.0,"THIS MODIFICATION IS BEING ISSUED TO THE STORM DRAIN RELOCATION AND UTILITY JACK AND BORE FOR THE CALEXICO LAND PORT OF ENTRY PHASE 2A PROJECT IN CALEXICO, CALIFORNIA",1
D308,541511.0,RSA TWO-FACTOR AUTHORIZATION TOKEN SYSTEM AND CISCOAUTHENTICATION SERVER SUPPPORT,1
F003,115310.0,"S107, CHILCOOT, ORUPF000345,",1
DA01,541511.0,STRATEGIC MANAGEMENT SYSTEM SUPPORT SERVICES TO THE ARMY OFFICE OF BUSINESS TRANSFORMATION (OBT),1
R499,541690.0,"SEER-MEDICARE RESOURCE (SEER-MEDICARE LIGHT) FILES TO FACILITATE THE ANALYSES OF SEER-MEDICARE DATA BY RESEARCHERS IN SUPPORT OF THE U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES (DHHS), NATIONAL INSTITUTES OF HEALTH (NIH), NATIONAL CANCER INSTITUTE (",1
7010,334210.0,FREQUENCY SYNCHRONIZATION SYSTEM,1
1420,336414.0,"THE SUPPORT FOR ENGINEERING SERVICES FOR EXECUTION OF THE INTEGRATED AIR AND MISSILE DEFENSE (IAMD) PLUG&FIGHT (P&F) A-KIT. REALIGN FUNDS IN THE AMOUNT OF $27,260.00 FROM CLIN 0004 (ENGINEERING SERVICES) TO CLIN 0014 (MATERIAL) AND CLIN 0015 (ODCS)",1
7025,334111.0,"COMPUTER MONITORS E273 27"" DISPLAY",1
7030,541519.0,"TITLE: BUSINESS PROCESS MANAGEMENT(BPM)/ROBOTIC PROCESS AUTOMATION(RPA)PILOT 906    CONTRACT EXPIRATION          THE CONTRACT INDICATED IN BLOCK 2, ABOVE, EXPIRES ON _____________. WHEN A NEW CONTRACT IS AWARDED, A MODIFICATION WILL BE ISSUED INCOR",1
DA10,541519.0,THIS TASK ORDER IS MICROSOFT LICENSES PER QUOTE MTG-NASA- MIC-04951 DATED 08/20/2024. THE PERIOD OF PERFORMANCE IS 08/23/2024-08/22/2025 WITH TWO YEARS OF SOFTWARE ASSURANCE. MAINTENANCE WILL NEED TO BE RENEWED ON 08/22/2027.,1
5995,335931.0,"8508001342!CABLE ASSEMBLY,SPECIAL PURPOS",1
Z1JZ,811310.0,IGF::OT::IGF BUILDING EXHAUST REPAIR AT LA JOLLA LABS. MODIFICATION 0001 - DEOB&CLOSEOUT.,1
U099,541690.0,VENUE FOR PREP21,1
6630,334519.0,"8505666722!MEASURING TUBE,GAS",1
D319,541519.0,EO14042 WEBLOGIC SERVER MANAGEMENT PACK SERVICE AND SUPPORT,1
R425,541990.0,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE TOCOR FROM KELLY MORTON TO KAREN SCURRY.  ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED AND IN FULL FORCE AND EFFECT.,1
AC33,541511.0,"1) INCREASE FUNDING TO CLIN/SLIN 1001AC IN THE AMOUNT OF $78,506 AND 2) DE-OBLIGATE FUNDING FROM CLIN/SLIN 1011AB IN THE AMOUNT OF $30,000 F ROM $100,000 TO $70,000 AND 3) INCORPORATE TECHNICAL INSTRUCTION 002, REVISION 4.",1
6150,334419.0,8505294970!WIRING HARNESS,1
7030,541519.0,NMVAHCS CLINICAL DOCUMENTATION IMPROVEMENT SOFTWARE PURCHASE,1
7G21,334111.0,OPTION 1 - IRON BOW PROFESSIONAL SERVICES,1
Z2JZ,236220.0,WWYK170062 REPAIR/REPLACEMENT/INSTALLATION OF FIRE ALARM AND MASS NOTIFICATION SYSTEMS (FAMNS),1
5985,334220.0,8505825558!WAVEGUIDE ASSEMBLY,1
R499,541618.0,JUSTICE SECTOR SUPPORT PROJECT WHICH AIMS TO HELP THE  GOVERNMENT OF ARMENIA REFORM JUSTICE SECTOR INSTITUTIONS  THROUGH: (1) ESTABLISHING EFFECTIVE AND EFFICIENT COURT  ADMINISTRATION AND CASE MANAGEMENT SYSTEMS; (2) SUPPORTING  SELF-REGULATORY,1
DA01,541512.0,"THE PURPOSE OF THIS TASK ORDER IS TO REFINE, TEST, IMPLEMENT, AND MAINTAIN THE MCIM SUITE AND RELATED SPECIAL PROJECTS.  THE CONTRACTOR SHALL PROVIDE THE NECESSARY AND ESSENTIAL DEVELOPMENT, OPERATIONS, AND CUSTOMER SUPPORT FOR CMS.  THE CONTRACTOR",1
R425,541990.0,"REQUESTED BY : RANDY REPCHECK       PHONE : 202-267-8760  VENDOR: STPI    CONTRACT NUMBER: DTFAWA-14-F-00034 TASK ORDER# OSTP-20-0005   PERIOD OF PERFORMANCE:   DESCRIPTION/TITLE:  STPI  / NATIONAL SCIENCE FOUNDATION                                      HUMAN SPACE FLIGHT INDUSTRY&GOVERNMENT READINESS FOR REGULATION                                     MARCH 2016  LINE ITEMS:  LINE ITEM #1            $150,000.00 LINE ITEM #2            N/A  TOTAL PR AMOUNT $ 150,000.00  ACCOUNTING STRING BREAKDOWN: 12XXFAPRT",1
S202,561621.0,IGF::OT::IGF  FIRE PROTECTION SERVICES FOR VARIOUS FEDERAL BUILDINGS IN THE NATIONAL CAPITAL REGION.,1
7E20,541519.0,NEW TECH SOLUTIONS INC:1110203 [23-003432],1
5680,423610.0,"4544071874!SODIUM HYPOCHLORITE SOLUTION12%, 20KG/BX",1
R499,541990.0,"THE PURPOSE OF THIS MODIFICATION TO THE CONTRACT IS  - TO PROVIDE INCREMENTAL FUNDING IN THE AMOUNT OF $1,301,213.69, INCREASING THE TOTAL OBLIGATED AMOUNT FROM $11,556,598.00 TO $12,857,811.69; AND - TO DELETE CLAUSE H.36 PROCURING INFORMATION TECHNOLOGY (IT) RESOURCES IN ITS ENTIRETY.   ALL OTHER TERMS AND CONDITIONS REMAIN THE SAME.",1
9999,334290.0,"ACCUTECH SYSTEMS (ACCESS CONTROL) - BLDG. 13, LOADING DOCK E, B142 - VENDOR: ACCUTECH SYSTEMS - MELISSA RICHARDSON",1
Y1BC,236220.0,"FUNDS ARE PROVIDED FOR CONSTRUCTION OF THE ATCT MODERNIZATION PROJECT AT VAN NUYS, CA (VNY ATCT).  CONSTRUCTION WILL INCLUDE REPLACEMENT OF ELECTRICAL DISTRIBUTION SYSTEM, HVAC SYSTEMS, PLUMBING SYSTEMS, HAZMAT ABATEMENT, AND ARCHITECTURAL IMPROVEMENTS. IGF::OT::IGF",1
Z2QA,237110.0,"REPLACE SEPTIC SYSTEM AT LAFAYETTE'S QUARTERS, VALLEY FORGE NATIONAL HISTORICAL PARK, 1400 NORTH OUTER LINE DRIVE, KING OF PRUSSIA, PA.",1
5120,339940.0,"TAPE, MASKING, SUPERIOR, 2"" X 60 YD, BEI",1
Z2AA,236220.0,"CONSTRUCTION GENERAL CONTRACTOR (GC) SERVICES FOR THE CAPITAL SECURITY PROJECT AT THE US COURTHOUSE AND POST OFFICE IN COLUMBUS, GA   A. PURPOSE: COMBINATION MOD TO ADD THREE (3) GC SERVICES FOR ADDITIONAL WORK AS DESCRIBED IN RFPS #20, #33 AND #34 FOR US COURTHOUSE AND POST OFFICE, CAPITAL SECURITY PROJECT, COLUMBUS, GA.   B. ACCEPTANCE OF OFFER/SCOPE OF WORK: ADD THE FOLLOWING SERVICES AS DESCRIBED IN THE SCOPE OF WORK, RFPS #20 (REVISION 21), #33 (REVISION 08 7100) AND #34 (RFI 115). GSA ACCEPTS JIM COOL",1
S112,221122.0,"SUPPLY OF ELECTRICITY FOR DAEGU, JAN 18",1
V126,336414.0,NASA LAUNCH SERVICES II - UNITED LAUNCH SERVICES. MOD 306: THIS ACTION IS TO ADD FUNDING. CHANGE PAGES ARE PROVIDED. ALL TERMS AND CONDITIONS REMAIN UNCHANGED EXPECT FOR THOSE AFFECTED BY THIS MODIFICATION.,1
C213,236220.0,"GS-10F-106BA / GS-P-05-15-SC-0016, CONSTRUCTION MANAGER AS AGENT (CMA) SERVICES, BEAN SITE UPGRADES PROJECT AT THE MAJOR GENERAL EMMETT J. BEAN FEDERAL CENTER, INDIANAPOLIS, IN  THIS ADMINISTRATIVE MODIFICATION, PA10, IS HEREBY ISSUED TO DE-OBLIGATE THE REMAINING BALANCE OF $15,691.31 TO CLOSE OUT THE TASK ORDER.      THE TOTAL VALUE OF THE TASK ORDER IS DECREASED FROM $1,023,295.27 TO $1,007,603.96.",1
5680,423610.0,4541232357!COUPLING TYPE PVC SCH 40 STYLE PRESSURE,1
6150,334111.0,MODULAR BATTERY REPLACEMENT 8XSYBT4,1
5305,488190.0,"8507117375!92186A635 3/8""-16 X 2-3/4"" CA",1
Z1AZ,236220.0,REPLACE EXISTING LIGHTS WITH LED AT BLDG,1
D304,517410.0,IGF::CT::IGF THE CONTRACTOR SHALL PROVIDE 72 MHZ OF SATELLITE CAPACITY TO CONTINUE SATELLITE TRANSMISSION OF UNITED STATES AGENCY FOR GLOBAL MEDIA (USAGM) AUDIO AND VIDEO CONTENT TO THE ATLANTIC OCEAN REGION (AOR) VIA INTELSAT 907 AT 332.5 EAST,1
7050,541519.0,NEW TECH SOLUTIONS INC:1110203 [19-004465],1
5810,334290.0,"ADD FUNDING FOR INCREASED CUSTOMS CHARGES IN THE DELIVERY OF THE PURCHASED EXTRACTION DEVICES AND LICENSES FOR INL/PANAMA IN THE AMOUNT OF $1,210.00.",1
5950,334416.0,8508523440!REACTOR,1
R425,541990.0,TASK ORDER TITLE: TECHNICAL SUPPORT AND OUTREACH FOR RETROREFLECTIVITY RULEMAKING  THE CONTRACTOR SHALL COMPLETE THE REQUIREMENTS DESCRIBED IN THE ATTACHED STATEMENT OF WORK. THE CONTRACTOR SHALL PERFORM THE WORK IN ACCORDANCE WITH THE TERMS AND CO,1
D308,541512.0,IGFOTIGF ELECTRONIC LABORATORY NOTEBOOK SOFTWARE CONFIGURATION AND CUSTOMIZATION FOR USE BY FDA INVESTIGATORS.,1
D399,541512.0,MOD P00009 ADDS INCREMENTAL FUNDING TO OPTION PERIOD 2.,1
5935,334417.0,"8509262595!BACKSHELL,ELECTRICA",1
